Local Authority District name (2019),IMD_rank_avg,IMD_decile_avg,IMD_rank_std,IMD_decile_std
Adur,17774.97619,5.904761905,7552.67362,2.271880319
Allerdale,15163.96667,5.083333333,8394.250454,2.63156631
Amber Valley,18042.58974,6.012820513,8193.020943,2.545653743
Arun,17267.01064,5.755319149,7481.10002,2.312593713
Ashfield,12486.36486,4.283783784,7843.582353,2.407296388
Ashford,17247.78205,5.730769231,7339.209057,2.271638101
Aylesbury Vale,24008.86957,7.756521739,7209.679591,2.154519136
Babergh,20405.22222,6.685185185,6675.120259,2.045003797
Barking and Dagenham,7244.5,2.681818182,3223.196817,1.013050785
Barnet,19287.45024,6.383886256,7077.291154,2.188612534
Barnsley,10996.14286,3.823129252,8220.030356,2.501234436
Barrow-in-Furness,11460.4898,4.06122449,9173.260439,2.77944961
Basildon,15487.92727,5.2,10202.5779,3.106075727
Basingstoke and Deane,22468.92661,7.357798165,7937.289792,2.374723905
Bassetlaw,14626.97143,4.928571429,8155.949224,2.469063242
Bath and North East Somerset,23317.5913,7.495652174,7985.88372,2.461542495
Bedford,17450.07767,5.796116505,8752.543394,2.643375825
Bexley,19696.10959,6.506849315,8059.521594,2.455806842
Birmingham,7752.449139,2.890453834,7404.626407,2.250855556
Blaby,23774.65,7.716666667,5541.486932,1.737830975
Blackburn with Darwen,9192.494505,3.318681319,8904.442407,2.636829413
Blackpool,5885.340426,2.414893617,5694.712642,1.575413067
Bolsover,12545.39583,4.333333333,6986.165325,2.127163063
Bolton,12005.48023,4.209039548,9893.125494,2.984110893
Boston,13713.13889,4.638888889,6792.681297,2.099697635
"Bournemouth, Christchurch and Poole",18284.04721,6.064377682,8422.365273,2.589796236
Bracknell Forest,24498.42667,7.96,6453.988388,1.968948135
Bradford,10199.25806,3.629032258,9352.742557,2.826331751
Braintree,20081.91954,6.609195402,6677.016099,2.064969856
Breckland,15965.87179,5.346153846,6221.566161,1.892067673
Brent,12034.7052,4.161849711,5652.810698,1.754509486
Brentwood,24755.08696,8.02173913,6531.271803,2.005427418
Brighton and Hove,16575.8,5.551515152,8744.173778,2.67874666
"Bristol, City of",13542.15209,4.634980989,9159.758012,2.804684042
Broadland,22861.28571,7.476190476,5668.784359,1.752631003
Bromley,21707.98477,7.106598985,8385.555078,2.499756541
Bromsgrove,23499.39655,7.637931034,7756.185341,2.352290976
Broxbourne,17751.98214,5.910714286,7149.842077,2.193186024
Broxtowe,20958.25352,6.887323944,8148.202443,2.405643934
Burnley,8735.833333,3.216666667,8287.017407,2.491284242
Bury,15383.25833,5.216666667,9386.656085,2.840828774
Calderdale,12981.39063,4.4765625,8528.307633,2.571695858
Cambridge,19797.17391,6.608695652,7638.709569,2.315023766
Camden,16247.74436,5.406015038,8150.582391,2.519733013
Cannock Chase,15654.55,5.233333333,8054.8078,2.452025566
Canterbury,18476.92222,6.133333333,8275.810517,2.584308744
Carlisle,15225.94118,5.176470588,8974.339373,2.736929189
Castle Point,18865.10526,6.280701754,7679.218677,2.39608599
Central Bedfordshire,23200.59873,7.52866242,7345.510551,2.240537108
Charnwood,22146.30303,7.202020202,7831.06087,2.373234244
Chelmsford,23008.51402,7.495327103,7325.831609,2.246060836
Cheltenham,21866.52,7.013333333,9814.859846,2.943124527
Cherwell,20883.31183,6.860215054,7470.174093,2.267882549
Cheshire East,21700.17094,7.106837607,9155.321369,2.745522348
Cheshire West and Chester,18877.27358,6.231132075,9769.102772,2.986283436
Chesterfield,13778.55072,4.652173913,9168.56982,2.775025633
Chichester,20451.56338,6.732394366,6059.895234,1.866683434
Chiltern,27875.38596,8.859649123,5412.245196,1.505212331
Chorley,19538.83333,6.424242424,9185.288255,2.773837143
City of London,20275.16667,6.666666667,8363.499899,2.581988897
Colchester,18653.81905,6.171428571,8053.332896,2.431591529
Copeland,12980.81633,4.469387755,7905.626635,2.416109483
Corby,12284.14634,4.170731707,8096.763287,2.407305953
Cornwall,13324.58896,4.542944785,5991.499234,1.822001244
Cotswold,23618.17647,7.647058824,5339.373243,1.634913202
County Durham,12317.79938,4.262345679,8714.272226,2.629141649
Coventry,13739.50256,4.692307692,8774.630506,2.678223043
Craven,21711.6875,7.0625,6477.300595,2.108928791
Crawley,16269.31818,5.5,6819.283822,2.164397234
Croydon,14926.63636,5.022727273,8087.318065,2.442850311
Dacorum,22246.24468,7.212765957,8055.128834,2.40908826
Darlington,14055.93846,4.815384615,10164.65842,3.07658652
Dartford,17163.32759,5.793103448,7823.273337,2.43338347
Daventry,21956.90909,7.159090909,7090.596153,2.101419031
Derby,14529.17881,4.907284768,10609.28851,3.221492394
Derbyshire Dales,23092.81395,7.558139535,6056.981549,1.918609685
Doncaster,11275.14948,3.953608247,8583.049498,2.643383052
Dorset,19776.0411,6.502283105,7459.623074,2.269410523
Dover,14972.29851,5,7695.572489,2.348435972
Dudley,15148.85075,5.07960199,9684.916314,2.967091478
Ealing,14031.19898,4.795918367,6859.767766,2.13377808
East Cambridgeshire,23106.1,7.5,6083.927465,1.809837066
East Devon,22003.18519,7.197530864,6132.784994,1.833164975
East Hampshire,24518.25,7.986111111,6094.460359,1.826973604
East Hertfordshire,26583.47619,8.55952381,5907.71179,1.744880225
East Lindsey,10879.90123,3.839506173,7541.933447,2.336968068
East Northamptonshire,21069.71429,6.918367347,7833.730795,2.431021173
East Riding of Yorkshire,20628.62857,6.757142857,8908.901219,2.668811794
East Staffordshire,17986.70833,5.916666667,9037.445639,2.86675947
East Suffolk,17196.89041,5.746575342,8814.48842,2.690498336
Eastbourne,15040.67213,4.983606557,8180.654329,2.51324361
Eastleigh,24970.12987,8.064935065,6936.857774,2.129601287
Eden,18237.33333,6.111111111,5028.397495,1.652319197
Elmbridge,27159.11111,8.703703704,6224.448317,1.833333333
Enfield,12698.51913,4.382513661,7878.072487,2.430601657
Epping Forest,20239.65385,6.628205128,7225.21533,2.204534726
Epsom and Ewell,26723.63636,8.704545455,6185.289462,1.824631794
Erewash,18127.0137,5.97260274,9541.650391,2.896226485
Exeter,19288.87838,6.391891892,8117.03642,2.4873244
Fareham,25983.09589,8.328767123,6317.173764,1.929700571
Fenland,11877.09091,4.145454545,6033.254549,1.829978565
Folkestone and Hythe,13539.08955,4.597014925,7318.364451,2.296635889
Forest of Dean,16772.94,5.62,5275.365388,1.57648537
Fylde,19611.01961,6.470588235,7954.741204,2.436004443
Gateshead,12238.16667,4.253968254,8900.300143,2.718636446
Gedling,20429.42857,6.688311688,7873.227783,2.413011551
Gloucester,16389.48718,5.448717949,9887.175311,2.983275616
Gosport,16463.07547,5.528301887,8493.922655,2.606233457
Gravesham,16007.375,5.34375,8360.554739,2.552426483
Great Yarmouth,10160.37705,3.672131148,7392.896722,2.27098592
Greenwich,12654.51656,4.317880795,6357.733209,1.950626774
Guildford,25310.41667,8.19047619,6893.46523,2.119764652
Hackney,7420.611111,2.743055556,3446.968984,1.114096126
Halton,10692.78481,3.797468354,9476.460872,2.861682071
Hambleton,22844.65385,7.461538462,6615.080916,1.965003003
Hammersmith and Fulham,14202.60177,4.82300885,6913.660359,2.101148022
Harborough,26858.68085,8.553191489,5381.738515,1.612566286
Haringey,11291.91724,3.903448276,7147.925878,2.186842403
Harlow,14011.61111,4.814814815,5977.629869,1.781181229
Harrogate,24081.85577,7.836538462,6297.386288,1.895885053
Harrow,19977,6.554744526,6414.908465,1.988643153
Hart,29401.73684,9.385964912,3879.391049,1.081572697
Hartlepool,10395.96552,3.689655172,9789.557985,2.96888482
Hastings,8860.924528,3.226415094,6930.486352,2.072173788
Havant,16190.89744,5.448717949,9652.362156,2.991969494
Havering,19197.02,6.346666667,7823.870173,2.371493644
"Herefordshire, County of",16395.14655,5.525862069,6358.411685,1.953641892
Hertsmere,21120.74194,6.935483871,7629.073252,2.346053315
High Peak,19897.76271,6.559322034,7979.92655,2.465424258
Hillingdon,17705.38509,5.906832298,7874.741228,2.41557768
Hinckley and Bosworth,21580.59091,7.090909091,7428.430995,2.271748041
Horsham,25199.1358,8.148148148,6254.367571,1.844661968
Hounslow,14338.80282,4.830985915,5665.55736,1.725782096
Huntingdonshire,22492.01905,7.352380952,6871.306261,2.103024161
Hyndburn,9739.057692,3.519230769,8512.387113,2.539803795
Ipswich,13231.63529,4.517647059,8687.174816,2.69749339
Isle of Wight,13356.40449,4.595505618,6363.038562,1.952382584
Isles of Scilly,22165,7,,
Islington,10296.5122,3.642276423,5100.629316,1.615143912
Kensington and Chelsea,15419.33981,5.213592233,8174.956439,2.523033054
Kettering,18504.50877,6.122807018,8762.480404,2.706276933
King's Lynn and West Norfolk,13390.05618,4.584269663,6749.073993,2.098749567
"Kingston upon Hull, City of",7693.698795,2.951807229,7712.813814,2.308895128
Kingston upon Thames,23519.42857,7.62244898,5699.875716,1.767491706
Kirklees,13913.98842,4.714285714,9020.679996,2.765272701
Knowsley,6473.612245,2.56122449,6728.565553,1.910720307
Lambeth,11294.58989,3.949438202,5121.273952,1.574056876
Lancaster,14832.86517,5.02247191,9217.384282,2.763304708
Leeds,14058.0249,4.796680498,10160.31135,3.074972639
Leicester,10098.51563,3.583333333,7081.322606,2.161862038
Lewes,19504.85484,6.467741935,7383.046943,2.23032558
Lewisham,10781.3787,3.763313609,5328.461351,1.637602313
Lichfield,22330.01724,7.293103448,7212.781342,2.200547146
Lincoln,12675.19298,4.333333333,8592.085144,2.607224395
Liverpool,7023.402685,2.751677852,7927.922466,2.338107786
Luton,12621.24793,4.32231405,7236.20648,2.184089727
Maidstone,19503.71579,6.442105263,8489.258533,2.554577824
Maldon,20575.65,6.8,5768.619555,1.842517787
Malvern Hills,19185.13333,6.377777778,6649.137718,2.048157585
Manchester,6598.62766,2.542553191,6106.742336,1.840614706
Mansfield,12053.53731,4.164179104,8994.105872,2.761186696
Medway,14440.95092,4.90797546,8859.155808,2.677777354
Melton,22382.3,7.4,7141.288405,2.159182476
Mendip,18237.34848,6.045454545,6364.190858,1.987900463
Merton,20967.60484,6.887096774,7983.347449,2.426847389
Mid Devon,17468.39535,5.813953488,5977.229085,1.749228591
Mid Suffolk,21330.91071,7.071428571,5708.656974,1.766940271
Mid Sussex,27282.32558,8.76744186,5627.260551,1.642626438
Middlesbrough,9189.569767,3.38372093,10058.0805,2.963180345
Milton Keynes,18513.56579,6.138157895,8335.162996,2.547689102
Mole Valley,25788.85185,8.296296296,6193.751539,1.81845497
New Forest,21970.07018,7.210526316,7275.091253,2.204073799
Newark and Sherwood,17376.57143,5.771428571,8469.833437,2.577333914
Newcastle upon Tyne,13043.36571,4.525714286,10585.1892,3.180069295
Newcastle-under-Lyme,17065.6625,5.6875,8342.87072,2.51372813
Newham,8650.018293,3.091463415,3303.331119,1.020128853
North Devon,15572.06897,5.172413793,7422.260402,2.256669888
North East Derbyshire,18963.98413,6.238095238,9013.222297,2.69236846
North East Lincolnshire,12239.72642,4.29245283,10146.36548,3.026759956
