Geography_code,Geography_name,Denominator,Arab,Asian,Asian Other,Bangladeshi,Black,Black African,Black Caribbean,Black Other,Chinese,Indian,Mixed,Mixed Other,Mixed White and Asian,Mixed White and Black African,Mixed White and Black Caribbean,Other,Other ethnic group,Pakistani,White,White British,White Gypsy or Irish Traveller,White Irish,White Other,Non_White
E06000001,Hartlepool,92028,0.06,1.42,0.33,0.23,0.18,0.14,0.04,0.01,0.25,0.29,0.6,0.16,0.19,0.06,0.2,0.11,0.05,0.32,97.69,96.63,0.04,0.21,0.81,2.31
E06000002,Middlesbrough,138412,0.69,7.78,0.96,0.18,1.25,1.06,0.07,0.12,0.65,1.07,1.71,0.34,0.65,0.33,0.39,1.08,0.39,4.92,88.18,86.05,0.06,0.41,1.65,11.82
E06000003,Redcar and Cleveland,135177,0.03,0.64,0.17,0.07,0.09,0.06,0.03,0.01,0.11,0.07,0.63,0.13,0.2,0.08,0.22,0.1,0.07,0.22,98.54,97.6,0.06,0.31,0.57,1.46
E06000004,Stockton-on-Tees,191610,0.12,3.46,0.56,0.07,0.59,0.49,0.04,0.06,0.45,0.78,1.04,0.23,0.43,0.16,0.22,0.29,0.16,1.6,94.62,93.4,0.07,0.28,0.86,5.38
E06000005,Darlington,105564,0.11,2.09,0.44,0.5,0.34,0.2,0.1,0.04,0.33,0.69,1.09,0.22,0.33,0.09,0.44,0.25,0.14,0.14,96.24,93.69,0.33,0.31,1.91,3.76
E06000006,Halton,125746,0.04,0.75,0.2,0.05,0.21,0.08,0.11,0.02,0.24,0.22,1.08,0.24,0.26,0.2,0.37,0.12,0.07,0.03,97.85,96.39,0.03,0.52,0.9,2.15
E06000007,Warrington,202228,0.12,2.43,0.46,0.08,0.34,0.19,0.11,0.04,0.42,0.89,1.06,0.23,0.33,0.18,0.32,0.24,0.12,0.58,95.93,92.95,0.03,0.67,2.28,4.07
E06000008,Blackburn with Darwen,147489,0.4,28.13,1.12,1.03,0.63,0.42,0.14,0.08,0.49,13.42,1.24,0.24,0.67,0.11,0.21,0.83,0.44,12.07,69.16,66.54,0.11,0.54,1.97,30.84
E06000009,Blackpool,142065,0.12,1.61,0.48,0.16,0.24,0.13,0.08,0.04,0.36,0.44,1.23,0.25,0.32,0.19,0.49,0.24,0.12,0.16,96.67,93.65,0.17,0.72,2.13,3.33
E06000010,"Kingston upon Hull, City of",256406,0.44,2.52,0.63,0.29,1.17,0.96,0.09,0.11,0.83,0.42,1.35,0.32,0.37,0.32,0.34,0.84,0.4,0.34,94.12,89.67,0.11,0.21,4.12,5.88
E06000011,East Riding of Yorkshire,334179,0.09,0.89,0.23,0.02,0.18,0.11,0.05,0.02,0.2,0.32,0.69,0.14,0.23,0.11,0.2,0.16,0.07,0.12,98.09,96.15,0.07,0.27,1.6,1.91
E06000012,North East Lincolnshire,159616,0.17,1.33,0.34,0.17,0.26,0.19,0.04,0.02,0.38,0.32,0.74,0.17,0.23,0.1,0.24,0.29,0.13,0.12,97.37,95.38,0.02,0.26,1.72,2.63
E06000013,North Lincolnshire,167446,0.1,2.72,0.35,0.86,0.3,0.22,0.04,0.04,0.32,0.67,0.74,0.17,0.27,0.1,0.2,0.25,0.14,0.51,96,92.28,0.05,0.43,3.23,4
E06000014,York,198051,0.25,3.4,1,0.19,0.6,0.46,0.1,0.04,1.24,0.77,1.22,0.36,0.44,0.15,0.27,0.49,0.24,0.21,94.28,90.19,0.14,0.56,3.41,5.72
