Sex,Geography,Area code,Area Name,all_Deaths,all_Rate,all Lower CI,all Upper CI,covid_Deaths,covid_Rate,covid Lower CI,covid Upper CI
Persons,Unitary Authority,E06000001,Hartlepool,154,170.7,143.5,197.8,29,31,20.7,44.5
Persons,Unitary Authority,E06000002,Middlesbrough,289,256,226.1,286,89,79,63.2,97.6
Persons,Unitary Authority,E06000003,Redcar and Cleveland,215,142.6,123.5,161.8,40,26.5,18.9,36.2
Persons,Unitary Authority,E06000004,Stockton-on-Tees,297,167,147.8,186.1,38,21,14.8,28.9
Persons,Unitary Authority,E06000005,Darlington,169,151.5,128.6,174.4,26,22.9,15,33.7
Persons,Unitary Authority,E06000006,Halton,199,178.4,153.2,203.6,52,46.6,34.6,61.4
Persons,Unitary Authority,E06000007,Warrington,347,182.9,163.5,202.3,73,39.2,30.6,49.3
Persons,Unitary Authority,E06000008,Blackburn with Darwen,207,195.5,168.5,222.6,30,29.3,19.7,42
Persons,Unitary Authority,E06000009,Blackpool,276,191.2,168.5,213.8,33,22.7,15.6,32
Persons,Unitary Authority,E06000010,"Kingston upon Hull, City of",340,175.1,156.3,194,32,16.7,11.3,23.6
Persons,Unitary Authority,E06000011,East Riding of Yorkshire,586,138.2,126.9,149.5,60,13.9,10.6,18
Persons,Unitary Authority,E06000012,North East Lincolnshire,219,130.7,113.3,148.1,17,9.8,5.7,15.7
Persons,Unitary Authority,E06000013,North Lincolnshire,243,136.2,119,153.3,12,6.6,3.4,11.5
Persons,Unitary Authority,E06000014,York,286,139.7,123.4,155.9,43,21.1,15.3,28.5
Persons,Unitary Authority,E06000015,Derby,424,185.5,167.7,203.3,143,63,52.6,73.5
Persons,Unitary Authority,E06000016,Leicester,420,185.4,167.5,203.3,88,38.6,30.9,47.7
Persons,Unitary Authority,E06000017,Rutland,59,120.7,91.6,156,3,7.1,1.3,21.2
Persons,Unitary Authority,E06000018,Nottingham,350,168.8,151,186.7,76,36.8,28.9,46.1
Persons,Unitary Authority,E06000019,"Herefordshire, County of",293,125.3,110.9,139.8,27,11.1,7.3,16.2
Persons,Unitary Authority,E06000020,Telford and Wrekin,258,179.4,157.2,201.6,35,22.8,15.8,31.8
Persons,Unitary Authority,E06000021,Stoke-on-Trent,372,177,158.8,195.2,45,21.2,15.4,28.4
Persons,Unitary Authority,E06000022,Bath and North East Somerset,272,138.5,121.9,155,43,21.6,15.6,29.2
Persons,Unitary Authority,E06000023,"Bristol, City of",502,152.4,139,165.8,92,28.2,22.7,34.7
Persons,Unitary Authority,E06000024,North Somerset,292,110.6,97.9,123.4,26,10,6.5,14.7
Persons,Unitary Authority,E06000025,South Gloucestershire,360,129.8,116.3,143.3,68,24.1,18.7,30.6
Persons,Unitary Authority,E06000026,Plymouth,343,139.1,124.3,153.9,25,10.2,6.6,15.1
Persons,Unitary Authority,E06000027,Torbay,256,138.1,121,155.2,23,12.2,7.7,18.4
Persons,Unitary Authority,E06000030,Swindon,322,176.3,157,195.7,64,35.3,27.2,45.2
Persons,Unitary Authority,E06000031,Peterborough,206,133.5,115.2,151.9,22,14.4,9,21.9
Persons,Unitary Authority,E06000032,Luton,303,205.8,182.3,229.2,105,71.7,57.9,85.6
Persons,Unitary Authority,E06000033,Southend-on-Sea,329,171.6,152.9,190.2,80,42.9,33.9,53.4
Persons,Unitary Authority,E06000034,Thurrock,234,200.1,174.2,226,54,45.7,34.2,59.7
Persons,Unitary Authority,E06000035,Medway,331,152.9,136.3,169.5,80,37.1,29.3,46.2
Persons,Unitary Authority,E06000036,Bracknell Forest,117,128.8,105.3,152.3,26,29,18.9,42.6
Persons,Unitary Authority,E06000037,West Berkshire,212,141.2,122.1,160.3,55,37.1,27.9,48.4
Persons,Unitary Authority,E06000038,Reading,219,197.2,170.9,223.5,57,51.5,38.9,66.8
Persons,Unitary Authority,E06000039,Slough,187,226,192.9,259.2,58,69.9,52.8,90.8
Persons,Unitary Authority,E06000040,Windsor and Maidenhead,264,164.1,144.2,184,61,38.8,29.6,49.9
Persons,Unitary Authority,E06000041,Wokingham,200,128.6,110.7,146.5,50,32,23.7,42.2
Persons,Unitary Authority,E06000042,Milton Keynes,356,196.1,175.6,216.7,97,53.8,43.6,65.8
Persons,Unitary Authority,E06000043,Brighton and Hove,329,149.9,133.5,166.3,59,27.1,20.5,35
Persons,Unitary Authority,E06000044,Portsmouth,273,167.5,147.6,187.5,48,29.6,21.8,39.3
Persons,Unitary Authority,E06000045,Southampton,287,157.4,139.1,175.7,61,33.1,25.3,42.6
Persons,Unitary Authority,E06000046,Isle of Wight,197,99.9,85.9,114,17,8.6,5,13.8
Persons,Unitary Authority,E06000047,County Durham,961,186.1,174.2,198,226,43.1,37.4,48.7
Persons,Unitary Authority,E06000049,Cheshire East,717,159.5,147.8,171.2,158,35.3,29.8,40.8
Persons,Unitary Authority,E06000050,Cheshire West and Chester,572,154.1,141.4,166.7,116,31,25.4,36.7
Persons,Unitary Authority,E06000051,Shropshire,523,134.2,122.7,145.8,58,14.9,11.3,19.3
Persons,Unitary Authority,E06000052,Cornwall,858,125.4,117,133.8,94,13.9,11.2,17
Persons,Unitary Authority,E06000053,Isles of Scilly,2,89.9,NaN,NaN,0,0,0,0
Persons,Unitary Authority,E06000054,Wiltshire,762,138.8,128.9,148.6,120,21.7,17.8,25.6
Persons,Unitary Authority,E06000055,Bedford,231,142.4,124,160.8,51,31.8,23.6,41.8
Persons,Unitary Authority,E06000056,Central Bedfordshire,414,164.8,148.9,180.8,87,33.7,27,41.6
Persons,Unitary Authority,E06000057,Northumberland,535,142.5,130.3,154.6,87,22.9,18.3,28.3
Persons,Unitary Authority,E06000058,"Bournemouth, Christchurch and Poole",598,125.5,115.3,135.7,60,12.6,9.6,16.3
Persons,Unitary Authority,E06000059,Dorset,682,122.7,113.4,132.1,61,10.8,8.2,13.9
Persons,Non-Metropolitan District,E07000004,Aylesbury Vale,242,142.9,124.8,161,45,26.5,19.3,35.5
Persons,Non-Metropolitan District,E07000005,Chiltern,170,147.5,125.1,170,52,44.1,32.9,58
