"date","state","dataQualityGrade","death","deathConfirmed","deathIncrease","deathProbable","hospitalized","hospitalizedCumulative","hospitalizedCurrently","hospitalizedIncrease","inIcuCumulative","inIcuCurrently","negative","negativeIncrease","negativeTestsAntibody","negativeTestsPeopleAntibody","negativeTestsViral","onVentilatorCumulative","onVentilatorCurrently","positive","positiveCasesViral","positiveIncrease","positiveScore","positiveTestsAntibody","positiveTestsAntigen","positiveTestsPeopleAntibody","positiveTestsPeopleAntigen","positiveTestsViral","recovered","totalTestEncountersViral","totalTestEncountersViralIncrease","totalTestResults","totalTestResultsIncrease","totalTestsAntibody","totalTestsAntigen","totalTestsPeopleAntibody","totalTestsPeopleAntigen","totalTestsPeopleViral","totalTestsPeopleViralIncrease","totalTestsViral","totalTestsViralIncrease"
"2020-12-04","VA","A+",4160,3805,13,355,15116,15116,1854,102,,413,3169036,23803,,,,,187,247380,217588,2877,0,,,,,258264,24998,3386624,25623,3386624,25623,,,,,,0,,0
"2020-12-03","VA","A+",4147,3798,34,349,15014,15014,1853,131,,411,3145233,8723,,,,,186,244503,215768,2023,0,,,,,255535,24782,3361001,10105,3361001,10105,,,,,,0,,0
"2020-12-02","VA","A+",4113,3768,20,345,14883,14883,1860,158,,427,3136510,8000,,,,,188,242480,214386,2417,0,,,,,253961,24620,3350896,9470,3350896,9470,,,,,,0,,0
"2020-12-01","VA","A+",4093,3750,31,343,14725,14725,1757,106,,398,3128510,13437,,,,,173,240063,212916,2228,0,,,,,252516,24393,3341426,15099,3341426,15099,,,,,,0,,0
"2020-11-30","VA","A+",4062,3723,4,339,14619,14619,1658,47,,376,3115073,15513,,,,,162,237835,211254,1893,0,,,,,250857,24199,3326327,16984,3326327,16984,,,,,,0,,0
"2020-11-29","VA","A+",4058,3719,4,339,14572,14572,1628,56,,365,3099560,12521,,,,,155,235942,209783,2325,0,,,,,249282,24062,3309343,14135,3309343,14135,,,,,,0,,0
"2020-11-28","VA","A+",4054,3715,10,339,14516,14516,1585,65,,370,3087039,22961,,,,,149,233617,208169,3173,0,,,,,247942,23957,3295208,25498,3295208,25498,,,,,,0,,0
"2020-11-27","VA","A+",4044,3704,15,340,14451,14451,1593,34,,373,3064078,31591,,,,,160,230444,205632,1544,0,,,,,245600,23858,3269710,32817,3269710,32817,,,,,,0,,0
"2020-11-26","VA","A+",4029,3698,21,331,14417,14417,1601,105,,370,3032487,21047,,,,,152,228900,204406,2600,0,,,,,243145,23749,3236893,23027,3236893,23027,,,,,,0,,0
"2020-11-25","VA","A+",4008,3679,29,329,14312,14312,1549,100,,361,3011440,24457,,,,,153,226300,202426,2718,0,,,,,239167,23625,3213866,26599,3213866,26599,,,,,,0,,0
"2020-11-24","VA","A+",3979,3660,37,319,14212,14212,1496,116,,354,2986983,24066,,,,,146,223582,200284,2544,0,,,,,239167,23498,3187267,26208,3187267,26208,,,,,,0,,0
"2020-11-23","VA","A+",3942,3629,4,313,14096,14096,1512,50,,351,2962917,39522,,,,,152,221038,198142,3242,0,,,,,237216,23253,3161059,42165,3161059,42165,,,,,,0,,0
"2020-11-22","VA","A+",3938,3628,0,310,14046,14046,1469,29,,320,2923395,46014,,,,,145,217796,195499,2117,0,,,,,234326,23133,3118894,47759,3118894,47759,,,,,,0,,0
"2020-11-21","VA","A+",3938,3628,26,310,14017,14017,1507,103,,331,2877381,33720,,,,,135,215679,193754,2348,0,,,,,230823,23053,3071135,35503,3071135,35503,,,,,,0,,0
"2020-11-20","VA","A+",3912,3605,16,307,13914,13914,1510,99,,318,2843661,26356,,,,,133,213331,191971,2544,0,,,,,228050,22946,3035632,28171,3035632,28171,,,,,,0,,0
"2020-11-19","VA","A+",3896,3594,36,302,13815,13815,1569,108,,303,2817305,22728,,,,,123,210787,190156,1954,0,,,,,226178,22858,3007461,24031,3007461,24031,,,,,,0,,0
"2020-11-18","VA","A+",3860,3569,25,291,13707,13707,1469,99,,318,2794577,18707,,,,,126,208833,188853,2071,0,,,,,224321,22594,2983430,20273,2983430,20273,,,,,,0,,0
"2020-11-17","VA","A+",3835,3557,29,278,13608,13608,1392,56,,272,2775870,23262,,,,,103,206762,187287,2125,0,,,,,223485,22466,2963157,25024,2963157,25024,,,,,,0,,0
"2020-11-16","VA","A+",3806,3533,6,273,13552,13552,1337,48,,263,2752608,15325,,,,,118,204637,185525,2677,0,,,,,221669,22362,2938133,17396,2938133,17396,,,,,,0,,0
"2020-11-15","VA","A+",3800,3527,1,273,13504,13504,1284,24,,252,2737283,32765,,,,,120,201960,183454,1161,0,,,,,220239,22252,2920737,33735,2920737,33735,,,,,,0,,0
"2020-11-14","VA","A+",3799,3526,14,273,13480,13480,1312,72,,261,2704518,21985,,,,,121,200799,182484,1537,0,,,,,217693,22192,2887002,22993,2887002,22993,,,,,,0,,0
"2020-11-13","VA","A+",3785,3513,27,272,13408,13408,1296,69,,258,2682533,9359,,,,,115,199262,181476,1235,0,,,,,215909,22095,2864009,10212,2864009,10212,,,,,,0,,0
"2020-11-12","VA","A+",3758,3490,17,268,13339,13339,1313,66,,246,2673174,11053,,,,,110,198027,180623,1521,0,,,,,214915,22002,2853797,11990,2853797,11990,,,,,,0,,0
"2020-11-11","VA","A+",3741,3474,15,267,13273,13273,1265,90,,250,2662121,19894,,,,,106,196506,179686,1594,0,,,,,213917,21863,2841807,21148,2841807,21148,,,,,,0,,0
